Generating the reference point cloud
Model name: axe_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'axe_handle', 'axe_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'gelatin_box')], Total Error: 1.1390, Shape Error: 0.3532, Size Error: 0.4813, Ratio Error: 0.6091
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'tuna_can')], Total Error: 1.1391, Shape Error: 0.2493, Size Error: 0.5623, Ratio Error: 0.6548
Matches: [('axe_handle', 'tongs'), ('axe_head', 'green_foam')], Total Error: 1.1419, Shape Error: 0.3826, Size Error: 0.5480, Ratio Error: 0.4228
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'gelatin_box')], Total Error: 1.1491, Shape Error: 0.1172, Size Error: 0.5441, Ratio Error: 0.9758
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'plastic_handle')], Total Error: 1.1495, Shape Error: 0.3372, Size Error: 0.5095, Ratio Error: 0.6056
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'pliers')], Total Error: 1.1582, Shape Error: 0.2964, Size Error: 0.5334, Ratio Error: 0.6569
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'green_foam')], Total Error: 1.1593, Shape Error: 0.2352, Size Error: 0.6173, Ratio Error: 0.6137
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'pliers')], Total Error: 1.1683, Shape Error: 0.0604, Size Error: 0.5961, Ratio Error: 1.0236
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'fries')], Total Error: 1.1712, Shape Error: 0.1097, Size Error: 0.6032, Ratio Error: 0.9166
Matches: [('axe_handle', 'foam_roll'), ('axe_head', 'plastic_claw')], Total Error: 1.1764, Shape Error: 0.4648, Size Error: 0.3522, Ratio Error: 0.7188
Matches: [('axe_handle', 'screwdriver_large'), ('axe_head', 'purple_foam')], Total Error: 1.1833, Shape Error: 0.6303, Size Error: 0.3176, Ratio Error: 0.4707
Matches: [('axe_handle', 'pliers'), ('axe_head', 'foam_triangle')], Total Error: 1.2023, Shape Error: 0.2890, Size Error: 0.4527, Ratio Error: 0.9213
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'gelatin_box')], Total Error: 1.2029, Shape Error: 0.3062, Size Error: 0.5676, Ratio Error: 0.6585
Matches: [('axe_handle', 'tongs'), ('axe_head', 'plastic_handle')], Total Error: 1.2050, Shape Error: 0.4846, Size Error: 0.5470, Ratio Error: 0.3468
Matches: [('axe_handle', 'fries'), ('axe_head', 'plastic_clip')], Total Error: 1.2062, Shape Error: 0.1404, Size Error: 0.5983, Ratio Error: 0.9351
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'green_foam')], Total Error: 1.2127, Shape Error: 0.5084, Size Error: 0.4844, Ratio Error: 0.4398
Matches: [('axe_handle', 'plastic_claw'), ('axe_head', 'foam_triangle')], Total Error: 1.2135, Shape Error: 0.3056, Size Error: 0.5115, Ratio Error: 0.7929
Matches: [('axe_handle', 'fries'), ('axe_head', 'tuna_can')], Total Error: 1.2163, Shape Error: 0.1495, Size Error: 0.5608, Ratio Error: 1.0119
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'pliers')], Total Error: 1.2221, Shape Error: 0.2493, Size Error: 0.6196, Ratio Error: 0.7063
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'plastic_handle')], Total Error: 1.2223, Shape Error: 0.3372, Size Error: 0.6163, Ratio Error: 0.5377
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'green_foam')], Total Error: 1.2228, Shape Error: 0.2724, Size Error: 0.5472, Ratio Error: 0.8065
Matches: [('axe_handle', 'wood_long_endPoint'), ('axe_head', 'foam_triangle')], Total Error: 1.2252, Shape Error: 0.6880, Size Error: 0.2403, Ratio Error: 0.5939
Matches: [('axe_handle', 'tongs'), ('axe_head', 'fries')], Total Error: 1.2267, Shape Error: 0.2571, Size Error: 0.6407, Ratio Error: 0.6578
Matches: [('axe_handle', 'red_cylinder_magnetic'), ('axe_head', 'foam_triangle')], Total Error: 1.2270, Shape Error: 0.7597, Size Error: 0.2894, Ratio Error: 0.3558
Matches: [('axe_handle', 'tongs'), ('axe_head', 'drill_bit')], Total Error: 1.2303, Shape Error: 0.1706, Size Error: 0.7355, Ratio Error: 0.6484
