Generating the reference point cloud
Model name: knife_handle
Model name: knife_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Generating the candidate point cloud
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'knife_handle', 'knife_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'foam_plate')], Total Error: 3.9761, Shape Error: 0.8154, Size Error: 0.5901, Ratio Error: 5.1412
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'foam_plate')], Total Error: 3.9849, Shape Error: 0.7782, Size Error: 0.6702, Ratio Error: 5.0730
Matches: [('knife_handle', 'fries'), ('knife_head', 'disc')], Total Error: 3.9882, Shape Error: 0.8132, Size Error: 0.5743, Ratio Error: 5.2013
Matches: [('knife_handle', 'wood_L_shape'), ('knife_head', 'disc')], Total Error: 3.9926, Shape Error: 0.6868, Size Error: 0.7902, Ratio Error: 5.0312
Matches: [('knife_handle', 'wood_wheel'), ('knife_head', 'white_bread')], Total Error: 4.0024, Shape Error: 0.9484, Size Error: 0.6785, Ratio Error: 4.7509
Matches: [('knife_handle', 'plastic_claw'), ('knife_head', 'disc')], Total Error: 4.0211, Shape Error: 0.7034, Size Error: 0.6924, Ratio Error: 5.2505
Matches: [('knife_handle', 'yellow_foam'), ('knife_head', 'white_bread')], Total Error: 4.0294, Shape Error: 1.1796, Size Error: 0.5894, Ratio Error: 4.5209
Matches: [('knife_handle', 'screwdriver_large'), ('knife_head', 'disc')], Total Error: 4.0399, Shape Error: 1.0676, Size Error: 0.5738, Ratio Error: 4.7969
Matches: [('knife_handle', 'donut'), ('knife_head', 'white_bread')], Total Error: 4.0574, Shape Error: 0.8021, Size Error: 0.7681, Ratio Error: 4.9744
Matches: [('knife_handle', 'wood_block_stack'), ('knife_head', 'white_bread')], Total Error: 4.0626, Shape Error: 1.3225, Size Error: 0.5873, Ratio Error: 4.3055
Matches: [('knife_handle', 'red_foam'), ('knife_head', 'metal_triangle')], Total Error: 4.0637, Shape Error: 0.1697, Size Error: 0.9719, Ratio Error: 5.8441
