Generating the reference point cloud
Model name: spatula_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'spatula_handle', 'spatula_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spatula_handle', 'plastic_claw'), ('spatula_head', 'plastic_green_square')], Total Error: 3.3190, Shape Error: 0.7155, Size Error: 0.8330, Ratio Error: 3.5409
Matches: [('spatula_handle', 'wood_spread_tooth'), ('spatula_head', 'plastic_green_square')], Total Error: 3.3847, Shape Error: 1.5897, Size Error: 0.3314, Ratio Error: 2.9271
Matches: [('spatula_handle', 'plastic_claw'), ('spatula_head', 'circle_spam')], Total Error: 3.3945, Shape Error: 1.4886, Size Error: 0.7836, Ratio Error: 2.2446
Matches: [('spatula_handle', 'gelatin_box'), ('spatula_head', 'plastic_green_square')], Total Error: 3.3969, Shape Error: 0.7792, Size Error: 0.9024, Ratio Error: 3.4304
Matches: [('spatula_handle', 'screwdriver_large'), ('spatula_head', 'plastic_green_square')], Total Error: 3.4078, Shape Error: 1.0798, Size Error: 0.5836, Ratio Error: 3.4888
Matches: [('spatula_handle', 'plastic_claw'), ('spatula_head', 'disc_small')], Total Error: 3.4116, Shape Error: 1.3388, Size Error: 0.8137, Ratio Error: 2.5182
Matches: [('spatula_handle', 'plastic_claw'), ('spatula_head', 'disc_small')], Total Error: 3.4116, Shape Error: 1.3388, Size Error: 0.8137, Ratio Error: 2.5182
Matches: [('spatula_handle', 'red_cylinder_magnetic'), ('spatula_head', 'plastic_green_square')], Total Error: 3.4578, Shape Error: 1.1697, Size Error: 0.5973, Ratio Error: 3.3815
Matches: [('spatula_handle', 'wood_spread_tooth'), ('spatula_head', 'circle_spam')], Total Error: 3.4602, Shape Error: 2.3627, Size Error: 0.2820, Ratio Error: 1.6308
Matches: [('spatula_handle', 'gelatin_box'), ('spatula_head', 'circle_spam')], Total Error: 3.4723, Shape Error: 1.5522, Size Error: 0.8530, Ratio Error: 2.1341
Matches: [('spatula_handle', 'wood_spread_tooth'), ('spatula_head', 'disc_small')], Total Error: 3.4773, Shape Error: 2.2130, Size Error: 0.3121, Ratio Error: 1.9044
Matches: [('spatula_handle', 'wood_spread_tooth'), ('spatula_head', 'disc_small')], Total Error: 3.4773, Shape Error: 2.2130, Size Error: 0.3121, Ratio Error: 1.9044
Matches: [('spatula_handle', 'fork'), ('spatula_head', 'plastic_green_square')], Total Error: 3.4796, Shape Error: 1.5991, Size Error: 0.4113, Ratio Error: 2.9385
Matches: [('spatula_handle', 'screwdriver_large'), ('spatula_head', 'circle_spam')], Total Error: 3.4833, Shape Error: 1.8528, Size Error: 0.5342, Ratio Error: 2.1926
Matches: [('spatula_handle', 'gelatin_box'), ('spatula_head', 'disc_small')], Total Error: 3.4894, Shape Error: 1.4025, Size Error: 0.8831, Ratio Error: 2.4077
Matches: [('spatula_handle', 'gelatin_box'), ('spatula_head', 'disc_small')], Total Error: 3.4894, Shape Error: 1.4025, Size Error: 0.8831, Ratio Error: 2.4077
Matches: [('spatula_handle', 'screwdriver_large'), ('spatula_head', 'disc_small')], Total Error: 3.5004, Shape Error: 1.7031, Size Error: 0.5642, Ratio Error: 2.4662
Matches: [('spatula_handle', 'screwdriver_large'), ('spatula_head', 'disc_small')], Total Error: 3.5004, Shape Error: 1.7031, Size Error: 0.5642, Ratio Error: 2.4662
Matches: [('spatula_handle', 'tuna_can'), ('spatula_head', 'plastic_green_square')], Total Error: 3.5013, Shape Error: 0.6990, Size Error: 0.9934, Ratio Error: 3.6179
