Generating the reference point cloud
Model name: screwdriver_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'screwdriver_body', 'screwdriver_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('screwdriver_body', 'screwdriver_small'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.4616, Shape Error: 0.6682, Size Error: 0.5973, Ratio Error: 0.3921
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.4637, Shape Error: 0.4046, Size Error: 0.5054, Ratio Error: 1.1074
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'pliers')], Total Error: 1.4664, Shape Error: 0.1170, Size Error: 0.7578, Ratio Error: 1.1830
Matches: [('screwdriver_body', 'beans_tin'), ('screwdriver_head', 'tongs')], Total Error: 1.4670, Shape Error: 0.4892, Size Error: 0.6226, Ratio Error: 0.7106
Matches: [('screwdriver_body', 'wood_long_endPoint'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.4769, Shape Error: 0.4955, Size Error: 0.5665, Ratio Error: 0.8300
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.4813, Shape Error: 0.5529, Size Error: 0.5286, Ratio Error: 0.7995
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.4838, Shape Error: 0.7398, Size Error: 0.4962, Ratio Error: 0.4956
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.4850, Shape Error: 0.5508, Size Error: 0.5673, Ratio Error: 0.7338
Matches: [('screwdriver_body', 'screwdriver_small'), ('screwdriver_head', 'drill_bit')], Total Error: 1.4861, Shape Error: 0.6682, Size Error: 0.5716, Ratio Error: 0.4926
Matches: [('screwdriver_body', 'steel_bowl_small'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.4934, Shape Error: 0.1867, Size Error: 0.7292, Ratio Error: 1.1551
