Generating the reference point cloud
Model name: spoon_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'purple_foam')], Total Error: 1.4250, Shape Error: 0.3743, Size Error: 0.6814, Ratio Error: 0.7387
Matches: [('spoon_head', 'foam_w_hole'), ('spoon_body', 'drill_bit')], Total Error: 1.4352, Shape Error: 0.7409, Size Error: 0.4612, Ratio Error: 0.4661
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'plastic_claw')], Total Error: 1.4409, Shape Error: 0.4001, Size Error: 0.6551, Ratio Error: 0.7715
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'fries')], Total Error: 1.4431, Shape Error: 0.6805, Size Error: 0.4734, Ratio Error: 0.5785
Matches: [('spoon_head', 'blue_cup'), ('spoon_body', 'drill_bit')], Total Error: 1.4431, Shape Error: 0.4579, Size Error: 0.5514, Ratio Error: 0.8678
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'tongs')], Total Error: 1.4444, Shape Error: 0.7015, Size Error: 0.4781, Ratio Error: 0.5296
Matches: [('spoon_head', 'wood_foam'), ('spoon_body', 'drill_bit')], Total Error: 1.4503, Shape Error: 0.6254, Size Error: 0.5428, Ratio Error: 0.5643
Matches: [('spoon_head', 'wood_foam'), ('spoon_body', 'drill_bit')], Total Error: 1.4503, Shape Error: 0.6254, Size Error: 0.5428, Ratio Error: 0.5643
Matches: [('spoon_head', 'purple_foam'), ('spoon_body', 'drill_bit')], Total Error: 1.4526, Shape Error: 0.7318, Size Error: 0.4280, Ratio Error: 0.5856
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'foam_roll')], Total Error: 1.4549, Shape Error: 0.9501, Size Error: 0.2740, Ratio Error: 0.4614
Matches: [('spoon_head', 'hotdog'), ('spoon_body', 'wood_L_shape')], Total Error: 1.4570, Shape Error: 0.4745, Size Error: 0.7422, Ratio Error: 0.4807
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'screwdriver_large')], Total Error: 1.4599, Shape Error: 0.8946, Size Error: 0.2955, Ratio Error: 0.5395
Matches: [('spoon_head', 'steel_bowl_small'), ('spoon_body', 'plastic_clip')], Total Error: 1.4912, Shape Error: 0.7639, Size Error: 0.4473, Ratio Error: 0.5601
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'foam_roll')], Total Error: 1.4914, Shape Error: 0.8198, Size Error: 0.4166, Ratio Error: 0.5099
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'plastic_handle')], Total Error: 1.4936, Shape Error: 0.4696, Size Error: 0.6380, Ratio Error: 0.7721
Matches: [('spoon_head', 'foam_w_hole'), ('spoon_body', 'wood_L_shape')], Total Error: 1.4946, Shape Error: 0.7409, Size Error: 0.5768, Ratio Error: 0.3539
Matches: [('spoon_head', 'red_bowl'), ('spoon_body', 'fries')], Total Error: 1.4947, Shape Error: 0.7162, Size Error: 0.4875, Ratio Error: 0.5817
Matches: [('spoon_head', 'red_bowl'), ('spoon_body', 'tongs')], Total Error: 1.4960, Shape Error: 0.7373, Size Error: 0.4923, Ratio Error: 0.5328
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'screwdriver_large')], Total Error: 1.4964, Shape Error: 0.7643, Size Error: 0.4381, Ratio Error: 0.5880
