Generating the reference point cloud
Model name: rake_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'rake_handle', 'rake_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'hotdog')], Total Error: 1.3640, Shape Error: 0.3646, Size Error: 0.5394, Ratio Error: 0.9200
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'plastic_handle')], Total Error: 1.3691, Shape Error: 0.3299, Size Error: 0.5521, Ratio Error: 0.9743
Matches: [('rake_handle', 'plastic_clip'), ('rake_head', 'pliers')], Total Error: 1.3692, Shape Error: 0.4542, Size Error: 0.5157, Ratio Error: 0.7986
Matches: [('rake_handle', 'tongs'), ('rake_head', 'wooden_screw')], Total Error: 1.3696, Shape Error: 0.2912, Size Error: 0.5800, Ratio Error: 0.9968
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'screwdriver_small')], Total Error: 1.3697, Shape Error: 0.1909, Size Error: 0.6126, Ratio Error: 1.1325
Matches: [('rake_handle', 'tongs'), ('rake_head', 'red_cylinder_magnetic')], Total Error: 1.3718, Shape Error: 0.4307, Size Error: 0.5050, Ratio Error: 0.8724
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'foam_roll')], Total Error: 1.3733, Shape Error: 0.5090, Size Error: 0.5338, Ratio Error: 0.6610
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'screwdriver_large')], Total Error: 1.3761, Shape Error: 0.3097, Size Error: 0.5381, Ratio Error: 1.0566
Matches: [('rake_handle', 'tongs'), ('rake_head', 'beans_tin')], Total Error: 1.3786, Shape Error: 0.2830, Size Error: 0.5761, Ratio Error: 1.0390
Matches: [('rake_handle', 'tongs'), ('rake_head', 'wood_wheel')], Total Error: 1.3804, Shape Error: 0.5893, Size Error: 0.4868, Ratio Error: 0.6083
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'tongs')], Total Error: 1.3830, Shape Error: 0.2696, Size Error: 0.6213, Ratio Error: 0.9842
Matches: [('rake_handle', 'wooden_screw'), ('rake_head', 'steel_bowl_small')], Total Error: 1.3835, Shape Error: 0.5639, Size Error: 0.4988, Ratio Error: 0.6416
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'red_bowl')], Total Error: 1.3850, Shape Error: 0.5535, Size Error: 0.5045, Ratio Error: 0.6539
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'gelatin_box')], Total Error: 1.3907, Shape Error: 0.4123, Size Error: 0.6528, Ratio Error: 0.6513
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'wood_short_midPoint')], Total Error: 1.3927, Shape Error: 0.4350, Size Error: 0.5939, Ratio Error: 0.7278
Matches: [('rake_handle', 'screwdriver_small'), ('rake_head', 'plastic_handle')], Total Error: 1.3992, Shape Error: 0.2828, Size Error: 0.6039, Ratio Error: 1.0251
