Generating the reference point cloud
Model name: shovel_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'shovel_head', 'shovel_handle'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('shovel_head', 'gelatin_box'), ('shovel_handle', 'wooden_screw')], Total Error: 1.2702, Shape Error: 0.3535, Size Error: 0.5557, Ratio Error: 0.7220
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'fries')], Total Error: 1.2751, Shape Error: 0.3915, Size Error: 0.5022, Ratio Error: 0.7628
Matches: [('shovel_head', 'tuna_can'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.2798, Shape Error: 0.2262, Size Error: 0.6477, Ratio Error: 0.8118
Matches: [('shovel_head', 'hotdog'), ('shovel_handle', 'drill_bit')], Total Error: 1.2807, Shape Error: 0.5239, Size Error: 0.4636, Ratio Error: 0.5863
Matches: [('shovel_head', 'wood_L_shape'), ('shovel_handle', 'tongs')], Total Error: 1.2811, Shape Error: 0.1474, Size Error: 0.7560, Ratio Error: 0.7553
Matches: [('shovel_head', 'plastic_handle'), ('shovel_handle', 'wooden_screw')], Total Error: 1.2817, Shape Error: 0.6336, Size Error: 0.4142, Ratio Error: 0.4677
Matches: [('shovel_head', 'hotdog'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.2855, Shape Error: 0.5239, Size Error: 0.5151, Ratio Error: 0.4929
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 1.2868, Shape Error: 0.6641, Size Error: 0.2773, Ratio Error: 0.6907
Matches: [('shovel_head', 'tongs'), ('shovel_handle', 'drill_bit')], Total Error: 1.2904, Shape Error: 0.1474, Size Error: 0.6761, Ratio Error: 0.9336
Matches: [('shovel_head', 'gripper_sleeve'), ('shovel_handle', 'tongs')], Total Error: 1.2922, Shape Error: 0.7998, Size Error: 0.3285, Ratio Error: 0.3280
Matches: [('shovel_head', 'tongs'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.2951, Shape Error: 0.1474, Size Error: 0.7276, Ratio Error: 0.8402
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'fries')], Total Error: 1.2962, Shape Error: 0.1264, Size Error: 0.6264, Ratio Error: 1.0869
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'gelatin_box')], Total Error: 1.2985, Shape Error: 0.0968, Size Error: 0.6920, Ratio Error: 1.0193
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'pliers')], Total Error: 1.3042, Shape Error: 0.0372, Size Error: 0.6666, Ratio Error: 1.2009
Matches: [('shovel_head', 'foam_triangle'), ('shovel_handle', 'fries')], Total Error: 1.3050, Shape Error: 0.4359, Size Error: 0.4981, Ratio Error: 0.7421
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 1.3078, Shape Error: 0.3989, Size Error: 0.4015, Ratio Error: 1.0148
Matches: [('shovel_head', 'gelatin_box'), ('shovel_handle', 'plastic_clip')], Total Error: 1.3083, Shape Error: 0.1174, Size Error: 0.6707, Ratio Error: 1.0403
Matches: [('shovel_head', 'green_foam'), ('shovel_handle', 'wooden_screw')], Total Error: 1.3128, Shape Error: 0.5072, Size Error: 0.4680, Ratio Error: 0.6752
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'wood_short_midPoint')], Total Error: 1.3149, Shape Error: 0.4714, Size Error: 0.4180, Ratio Error: 0.8511
Matches: [('shovel_head', 'foam_triangle'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 1.3167, Shape Error: 0.7085, Size Error: 0.2732, Ratio Error: 0.6700
Matches: [('shovel_head', 'wood_foam'), ('shovel_handle', 'tongs')], Total Error: 1.3190, Shape Error: 0.6873, Size Error: 0.4114, Ratio Error: 0.4407
Matches: [('shovel_head', 'wood_foam'), ('shovel_handle', 'tongs')], Total Error: 1.3190, Shape Error: 0.6873, Size Error: 0.4114, Ratio Error: 0.4407
Matches: [('shovel_head', 'plastic_handle'), ('shovel_handle', 'plastic_clip')], Total Error: 1.3198, Shape Error: 0.3976, Size Error: 0.5292, Ratio Error: 0.7860
Matches: [('shovel_head', 'gelatin_box'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.3205, Shape Error: 0.3064, Size Error: 0.6279, Ratio Error: 0.7724
Matches: [('shovel_head', 'fries'), ('shovel_handle', 'wooden_screw')], Total Error: 1.3215, Shape Error: 0.3996, Size Error: 0.5667, Ratio Error: 0.7105
Matches: [('shovel_head', 'screwdriver_small'), ('shovel_handle', 'drill_bit')], Total Error: 1.3270, Shape Error: 0.2262, Size Error: 0.6469, Ratio Error: 0.9077
Matches: [('shovel_head', 'screwdriver_small'), ('shovel_handle', 'wood_L_shape')], Total Error: 1.3317, Shape Error: 0.2262, Size Error: 0.6984, Ratio Error: 0.8143
Matches: [('shovel_head', 'plastic_handle'), ('shovel_handle', 'screwdriver_small')], Total Error: 1.3320, Shape Error: 0.5866, Size Error: 0.4864, Ratio Error: 0.5182
Matches: [('shovel_head', 'hotdog'), ('shovel_handle', 'tongs')], Total Error: 1.3388, Shape Error: 0.6713, Size Error: 0.4730, Ratio Error: 0.3890
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'screwdriver_large')], Total Error: 1.3405, Shape Error: 0.6460, Size Error: 0.4152, Ratio Error: 0.5587
Matches: [('shovel_head', 'green_foam'), ('shovel_handle', 'plastic_clip')], Total Error: 1.3509, Shape Error: 0.2712, Size Error: 0.5830, Ratio Error: 0.9935
Matches: [('shovel_head', 'drill_bit'), ('shovel_handle', 'fries')], Total Error: 1.3552, Shape Error: 0.1264, Size Error: 0.7260, Ratio Error: 1.0057
Matches: [('shovel_head', 'fries'), ('shovel_handle', 'plastic_clip')], Total Error: 1.3596, Shape Error: 0.1636, Size Error: 0.6817, Ratio Error: 1.0287
